dataset_id,isolate_id,antibiotic,raw_read_prediction,support_assembly_prediction,raw_read_callable,support_assembly_callable,both_callable,concordant_when_both_callable,interpretation
ZENODO_10369064,S01,clarithromycin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S01,levofloxacin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S03,clarithromycin,R,UNCALLABLE,yes,no,no,,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S03,levofloxacin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S04,clarithromycin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S04,levofloxacin,UNCALLABLE,R,no,yes,no,,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S05,clarithromycin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S05,levofloxacin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S06,clarithromycin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S06,levofloxacin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S07,clarithromycin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S07,levofloxacin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S08,clarithromycin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S08,levofloxacin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S09,clarithromycin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S09,levofloxacin,UNCALLABLE,S,no,yes,no,,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S10,clarithromycin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S10,levofloxacin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S11,clarithromycin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S11,levofloxacin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S12,clarithromycin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S12,levofloxacin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S13,clarithromycin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S13,levofloxacin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S14,clarithromycin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S14,levofloxacin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S15,clarithromycin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S15,levofloxacin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S16,clarithromycin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S16,levofloxacin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S17,clarithromycin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S17,levofloxacin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S18,clarithromycin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S18,levofloxacin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S19,clarithromycin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S19,levofloxacin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S20,clarithromycin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S20,levofloxacin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S21,clarithromycin,R,UNCALLABLE,yes,no,no,,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S21,levofloxacin,S,UNCALLABLE,yes,no,no,,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S23,clarithromycin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S23,levofloxacin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S24,clarithromycin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S24,levofloxacin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S25,clarithromycin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S25,levofloxacin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S26,clarithromycin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S26,levofloxacin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S27,clarithromycin,R,UNCALLABLE,yes,no,no,,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S27,levofloxacin,UNCALLABLE,UNCALLABLE,no,no,no,,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S28,clarithromycin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S28,levofloxacin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S29,clarithromycin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S29,levofloxacin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S30,clarithromycin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S30,levofloxacin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S31,clarithromycin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S31,levofloxacin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S32,clarithromycin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S32,levofloxacin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S33,clarithromycin,S,UNCALLABLE,yes,no,no,,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S33,levofloxacin,UNCALLABLE,UNCALLABLE,no,no,no,,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S34,clarithromycin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
